ORPHAcode,nombre_enfermedad,tipo_enfermedad,prevalencia_tipo,prevalencia_final,region_prevalencia,calidad_prevalencia,estado_validacion_prevalencia
586,Cystic fibrosis,Disease,Point prevalence,6.629,Norway,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,17.4881,Poland,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,10.0394,Poland,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,12.549,Portugal,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,7.204,Portugal,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,48.6381,Romania,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,1.06,Romania,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,9.7119,Russian Federation,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,5.5753,Russian Federation,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,15.38,Slovakia,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,8.8292,Slovakia,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,33.3333,Slovenia,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,3.28,Slovenia,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,16.5048,Spain,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,9.4749,Spain,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,17.9285,Sweden,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,10.2922,Sweden,Value and class,Validated
586,Cystic fibrosis,Disease,Prevalence at birth,41.9991,United Kingdom,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,13.7,United Kingdom,Value and class,Validated
586,Cystic fibrosis,Disease,Annual incidence,13.1995,Brazil,Value and class,Validated
586,Cystic fibrosis,Disease,Point prevalence,0.7786,China,Value and class,Validated
262,Duchenne and Becker muscular dystrophy,Clinical group,Point prevalence,0.23,United Kingdom,Value and class,Validated
262,Duchenne and Becker muscular dystrophy,Clinical group,Point prevalence,5e-05,Europe,Class only,Not yet validated
262,Duchenne and Becker muscular dystrophy,Clinical group,Point prevalence,0.0003,United States,Class only,Validated
261,Emery-Dreifuss muscular dystrophy,Disease,Point prevalence,0.3,Europe,Value and class,Validated
550,MELAS,Disease,Point prevalence,0.18,Japan,Value and class,Validated
550,MELAS,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
550,MELAS,Disease,Point prevalence,0.6,Europe,Value and class,Validated
550,MELAS,Disease,Point prevalence,1.63,Finland,Value and class,Validated
550,MELAS,Disease,Point prevalence,236.0,Specific population,Value and class,Validated
269,Facioscapulohumeral dystrophy,Disease,Point prevalence,4.5,Europe,Value and class,Validated
269,Facioscapulohumeral dystrophy,Disease,Point prevalence,4.4,Italy,Value and class,Validated
269,Facioscapulohumeral dystrophy,Disease,Point prevalence,3.95,United Kingdom,Value and class,Validated
269,Facioscapulohumeral dystrophy,Disease,Point prevalence,2.0,Japan,Value and class,Validated
269,Facioscapulohumeral dystrophy,Disease,Point prevalence,12.0,Netherlands,Value and class,Validated
269,Facioscapulohumeral dystrophy,Disease,Annual incidence,0.3,Netherlands,Value and class,Validated
480,Kearns-Sayre syndrome,Disease,Point prevalence,2.0,Europe,Value and class,Validated
480,Kearns-Sayre syndrome,Disease,Point prevalence,0.8,Finland,Value and class,Validated
480,Kearns-Sayre syndrome,Disease,Point prevalence,1.0,United Kingdom,Value and class,Validated
480,Kearns-Sayre syndrome,Disease,Prevalence at birth,0.3,Israel,Value and class,Validated
593,Myofibrillar myopathy,Category,Point prevalence,,Worldwide,Class only,Not yet validated
551,MERRF,Disease,Prevalence at birth,0.494,Sweden,Value and class,Validated
551,MERRF,Disease,Point prevalence,,Europe,Class only,Validated
597,Central core disease,Disease,Point prevalence,0.4,United Kingdom,Value and class,Validated
597,Central core disease,Disease,Point prevalence,5e-06,Europe,Class only,Not yet validated
607,Nemaline myopathy,Clinical group,Prevalence at birth,2.0,Europe,Value and class,Validated
607,Nemaline myopathy,Clinical group,Point prevalence,0.2,United Kingdom,Value and class,Validated
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,Cases/families,40.0,Worldwide,Case(s),Validated
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
684,Paramyotonia congenita of Von Eulenburg,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
684,Paramyotonia congenita of Von Eulenburg,Disease,Point prevalence,0.17,United Kingdom,Value and class,Validated
684,Paramyotonia congenita of Von Eulenburg,Disease,Point prevalence,0.94,Netherlands,Value and class,Validated
684,Paramyotonia congenita of Von Eulenburg,Disease,Point prevalence,5e-06,Europe,Class only,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,5.0,Europe,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,12.5,Worldwide,Value and class,Not yet validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,10.4,United Kingdom,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,7.9,Iceland,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,5.3,Serbia,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,9.13,Japan,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,0.46,"Taiwan, Province of China",Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,14.3,South Africa,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,76.3,Specific population,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,210.5,Specific population,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Annual incidence,0.2,Serbia,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,9.31,Italy,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,11.95,Ireland,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,20.0,Specific population,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,5.7,Specific population,Value and class,Validated
273,Steinert myotonic dystrophy,Disease,Point prevalence,18.1,Croatia,Value and class,Validated
163937,"X-linked intellectual disability, Najm type",Disease,Cases/families,35.0,Worldwide,Family(ies),Validated
163937,"X-linked intellectual disability, Najm type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
163934,Atopic keratoconjunctivitis,Disease,Point prevalence,15.0,Europe,Value and class,Validated
614,Thomsen and Becker disease,Disease,Point prevalence,1.0,Worldwide,Value and class,Validated
614,Thomsen and Becker disease,Disease,Point prevalence,5e-05,Europe,Class only,Validated
614,Thomsen and Becker disease,Disease,Point prevalence,7.3,Finland,Value and class,Validated
614,Thomsen and Becker disease,Disease,Point prevalence,0.9,Italy,Value and class,Validated
614,Thomsen and Becker disease,Disease,Point prevalence,0.52,United Kingdom,Value and class,Validated
614,Thomsen and Becker disease,Disease,Point prevalence,0.75,Netherlands,Value and class,Validated
163921,Posttransplant acute limbic encephalitis,Particular clinical situation in a disease or syndrome,Point prevalence,,Worldwide,Class only,Not yet validated
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,Cases/families,10.0,Worldwide,Case(s),Validated
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
163971,"X-linked intellectual disability, Cilliers type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
163971,"X-linked intellectual disability, Cilliers type",Disease,Cases/families,4.0,Worldwide,Case(s),Validated
163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Point prevalence,1e-06,Worldwide,Class only,Validated
163976,"X-linked intellectual disability, Van Esch type",Malformation syndrome,Cases/families,7.0,Worldwide,Case(s),Validated
163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
163979,X-linked intellectual disability-craniofacioskeletal syndrome,Disease,Cases/families,9.0,Worldwide,Case(s),Validated
163956,"X-linked intellectual disability, Nascimento type",Disease,Cases/families,8.0,Worldwide,Case(s),Validated
163956,"X-linked intellectual disability, Nascimento type",Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
163961,X-linked cerebral-cerebellar-coloboma syndrome,Disease,Cases/families,3.0,Worldwide,Case(s),Validated
324,Fabry disease,Disease,Prevalence at birth,6.66,Worldwide,Value and class,Validated
324,Fabry disease,Disease,Prevalence at birth,6.96,Australia,Value and class,Validated
324,Fabry disease,Disease,Prevalence at birth,0.21,Netherlands,Value and class,Validated
324,Fabry disease,Disease,Prevalence at birth,0.12,Portugal,Value and class,Validated
324,Fabry disease,Disease,Prevalence at birth,0.52,Czech Republic,Value and class,Validated
324,Fabry disease,Disease,Prevalence at birth,0.015,Turkey,Value and class,Validated
324,Fabry disease,Disease,Point prevalence,0.15,United Kingdom,Value and class,Validated
324,Fabry disease,Disease,Prevalence at birth,0.25,Japan,Value and class,Validated
324,Fabry disease,Disease,Point prevalence,0.0003,Europe,Class only,Not yet validated
324,Fabry disease,Disease,Prevalence at birth,1.11,Sweden,Value and class,Validated
324,Fabry disease,Disease,Point prevalence,0.118,China,Value and class,Validated
163985,Hyperekplexia-epilepsy syndrome,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
163985,Hyperekplexia-epilepsy syndrome,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
778,Rett syndrome,Disease,Prevalence at birth,5.0,Europe,Value and class,Not yet validated
778,Rett syndrome,Disease,Point prevalence,10.0,Europe,Value and class,Validated
778,Rett syndrome,Disease,Point prevalence,5e-05,France,Class only,Not yet validated
778,Rett syndrome,Disease,Point prevalence,5e-05,Worldwide,Class only,Not yet validated
778,Rett syndrome,Disease,Point prevalence,5.0,Sweden,Value and class,Not yet validated
778,Rett syndrome,Disease,Point prevalence,5e-05,Japan,Class only,Not yet validated
778,Rett syndrome,Disease,Prevalence at birth,5e-05,United States,Class only,Not yet validated
778,Rett syndrome,Disease,Point prevalence,1.6,United Kingdom,Value and class,Validated
778,Rett syndrome,Disease,Prevalence at birth,3.05,Australia,Value and class,Not yet validated
778,Rett syndrome,Disease,Point prevalence,5e-05,Australia,Class only,Not yet validated
778,Rett syndrome,Disease,Point prevalence,5e-05,Hong Kong,Class only,Not yet validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,7.5,Worldwide,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Prevalence at birth,1.3,Europe,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,5e-05,Europe,Class only,Validated
72,Angelman syndrome,Malformation syndrome,Prevalence at birth,2.5,Australia,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,5e-05,Australia,Class only,Not yet validated
72,Angelman syndrome,Malformation syndrome,Prevalence at birth,5.0,Spain,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,8.3,Spain,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Prevalence at birth,1.8,Estonia,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,5e-05,Estonia,Class only,Not yet validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,10.0,Denmark,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Prevalence at birth,0.5,Denmark,Value and class,Validated
72,Angelman syndrome,Malformation syndrome,Point prevalence,4.0,United Kingdom,Value and class,Validated
307,Juvenile myoclonic epilepsy,Disease,Point prevalence,,Worldwide,Class only,Not yet validated
1941,Juvenile absence epilepsy,Disease,Annual incidence,7.5,Europe,Value and class,Validated
1941,Juvenile absence epilepsy,Disease,Point prevalence,5e-05,Europe,Class only,Validated
892,Von Hippel-Lindau disease,Disease,Prevalence at birth,2.3,United Kingdom,Value and class,Validated
892,Von Hippel-Lindau disease,Disease,Point prevalence,1.1,United Kingdom,Value and class,Validated
892,Von Hippel-Lindau disease,Disease,Point prevalence,5e-05,Europe,Class only,Not yet validated
892,Von Hippel-Lindau disease,Disease,Point prevalence,2.13,Denmark,Value and class,Validated
892,Von Hippel-Lindau disease,Disease,Prevalence at birth,3.66,Denmark,Value and class,Validated
731,Autosomal recessive polycystic kidney disease,Disease,Prevalence at birth,5.0,Germany,Value and class,Validated
731,Autosomal recessive polycystic kidney disease,Disease,Point prevalence,,Europe,Class only,Not yet validated
138,CHARGE syndrome,Malformation syndrome,Prevalence at birth,3.5,Canada,Value and class,Validated
138,CHARGE syndrome,Malformation syndrome,Prevalence at birth,6.5,Worldwide,Value and class,Not yet validated
138,CHARGE syndrome,Malformation syndrome,Point prevalence,,Worldwide,Class only,Not yet validated
138,CHARGE syndrome,Malformation syndrome,Point prevalence,9.0,Europe,Value and class,Validated
558,Marfan syndrome,Disease,Annual incidence,25.0,Europe,Value and class,Not yet validated
558,Marfan syndrome,Disease,Point prevalence,15.0,Worldwide,Value and class,Not yet validated
558,Marfan syndrome,Disease,Point prevalence,20.0,Europe,Value and class,Validated
558,Marfan syndrome,Disease,Prevalence at birth,10.2,United Kingdom,Value and class,Validated
558,Marfan syndrome,Disease,Point prevalence,7.0,United Kingdom,Value and class,Validated
558,Marfan syndrome,Disease,Point prevalence,10.0,United States,Value and class,Validated
165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Cases/families,4.0,Worldwide,Case(s),Validated
165805,Familial mesial temporal lobe epilepsy with febrile seizures,Disease,Point prevalence,1e-06,Worldwide,Class only,Validated
803,Amyotrophic lateral sclerosis,Disease,Annual incidence,2.2,Europe,Value and class,Validated
803,Amyotrophic lateral sclerosis,Disease,Point prevalence,5.2,Europe,Value and class,Validated
803,Amyotrophic lateral sclerosis,Disease,Point prevalence,3.85,Worldwide,Value and class,Not yet validated
803,Amyotrophic lateral sclerosis,Disease,Annual incidence,1.35,Worldwide,Value and class,Not yet validated
