ORPHAcode,nombre_enfermedad,tipo_enfermedad,edad_media_inicio,tipo_herencia
2510,Micro syndrome,Malformation syndrome,['Childhood'],['Autosomal recessive']
2511,Microbrachycephaly-ptosis-cleft lip syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2512,Autosomal recessive primary microcephaly,Etiological subtype,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2513,Microcephaly-albinism-digital anomalies syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Unknown']
2514,Autosomal dominant primary microcephaly,Etiological subtype,"['Antenatal', 'Infancy', 'Neonatal']",['Autosomal dominant']
2515,Microcephaly-cardiomyopathy syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2516,Microcephaly-cardiac defect-lung malsegmentation syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2518,Autosomal recessive chorioretinopathy-microcephaly syndrome,Malformation syndrome,['Neonatal'],['Autosomal recessive']
2519,Microcephaly-seizures-intellectual disability-heart disease syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Unknown']
2521,Microcephaly-cleft palate-abnormal retinal pigmentation syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Unknown']
2522,Microcephaly-cervical spine fusion anomalies syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",['Autosomal recessive']
2523,Microcephaly-brain defect-spasticity-hypernatremia syndrome,Malformation syndrome,['Neonatal'],[]
2524,Pontocerebellar hypoplasia type 2,Malformation syndrome,"['Infancy', 'Neonatal']",['Autosomal recessive']
2526,Microcephaly-lymphedema-chorioretinopathy syndrome,Malformation syndrome,['Neonatal'],['Autosomal dominant']
2528,"Microcephaly-microcornea syndrome, Seemanova type",Malformation syndrome,"['Infancy', 'Neonatal']",[]
2533,Microcephaly-deafness-intellectual disability syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",[]
2536,Microcornea-glaucoma-absent frontal sinuses syndrome,Malformation syndrome,"['Childhood', 'Infancy', 'Neonatal']",[]
2538,Microgastria-limb reduction defect syndrome,Malformation syndrome,"['Infancy', 'Neonatal']",['Not applicable']
2542,Isolated microphthalmia-anophthalmia-coloboma,Clinical group,"['Antenatal', 'Neonatal']","['Autosomal dominant', 'Autosomal recessive', 'X-linked recessive']"
2547,Microphthalmia-microtia-fetal akinesia syndrome,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
2549,Oculoauriculovertebral spectrum with radial defects,Malformation syndrome,"['Antenatal', 'Neonatal']",[]
